key,option,VN,CN,TH
Get Current Location (GPS),"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Lấy vị trí hiện tại (GPS),獲取當前位置(GPS),รับตำแหน่งปัจจุบัน (GPS)
Locating GPS...,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Đang định vị GPS...,正在獲取GPS定位...,กำลังค้นหาตำแหน่ง GPS...
No GPS coordinates recorded,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Chưa có tọa độ GPS,未記錄GPS座標,ไม่มีการบันทึกพิกัด GPS
Add a line,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Thêm một dòng,新增一行,เพิ่มแถว
Export Criteria Excel,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Xuất Excel tiêu chí,匯出評核標準Excel,ส่งออกเกณฑ์ Excel
Import from Excel,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Nhập từ Excel,從Excel匯入,นำเข้าจาก Excel
Download Template,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Tải file mẫu,下載範本,ดาวน์โหลดแม่แบบ
Import Inspection Criteria from Excel,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Nhập Tiêu Chí Khảo Sát Từ Excel,從Excel匯入督導評核項目,นำเข้าเกณฑ์การตรวจจาก Excel
Import Data,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Nhập Dữ Liệu,匯入資料,นำเข้าข้อมูล
Download Excel Template,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Tải File Mẫu Excel,下載Excel範本,ดาวน์โหลดแม่แบบ Excel
Franchise Inspections,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Phiếu giám sát nhượng quyền,加盟門市督導表,แบบฟอร์มตรวจแฟรนไชส์
Franchise Inspection,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Phiếu giám sát nhượng quyền,加盟門市督導表,แบบฟอร์มตรวจแฟรนไชส์
Franchise Inspection Report,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Báo cáo Khảo sát Giám sát,加盟門市督導評核報告,รายงานการตรวจประเมินแฟรนไชส์
Inspection Survey,label:wujia.franchise.inspection_survey:page_title,Khảo sát Giám sát,督導評核,การตรวจติดตาม
Back,label:wujia.franchise.inspection_survey:btn_back,Quay lại,返回,กลับ
Completed,label:wujia.franchise.inspection_survey:status_completed,Đã hoàn thành,已完成,เสร็จสิ้น
Checklist,label:wujia.franchise.inspection_survey:score_checklist,Bảng kiểm tra (Checklist),評核得分,คะแนนการตรวจ
Staff Exam,label:wujia.franchise.inspection_survey:score_exam,Kỳ thi nhân viên,員工測驗,การทดสอบพนักงาน
Total Score,label:wujia.franchise.inspection_survey:score_total,Tổng điểm,總分,คะแนนรวม
Grade,label:wujia.franchise.inspection_survey:score_grade,Xếp loại,等級,เกรด
Save,label:wujia.franchise.inspection_survey:btn_save,Lưu,儲存,บันทึก
Complete Inspection,label:wujia.franchise.inspection_survey:btn_complete,Hoàn tất khảo sát,完成評核,เสร็จสิ้นการตรวจ
Checklist Criteria,label:wujia.franchise.inspection_survey:tab_checklist,Tiêu chí Checklist,評核項目,เกณฑ์การตรวจสอบ
Staff Exam,label:wujia.franchise.inspection_survey:tab_exam,Kỳ thi nhân viên,員工測驗,การทดสอบพนักงาน
Notes & Remediation,label:wujia.franchise.inspection_survey:tab_notes,Ghi chú & Khắc phục,備註與改善,บันทึกและแก้ไข
3 Months Revenue,label:wujia.franchise.inspection_survey:tab_revenue,Doanh thu 3 tháng,近3個月營業額,รายได้ 3 เดือน
Confirmation & Attendance,label:wujia.franchise.inspection_survey:tab_confirmation,Xác nhận & Điểm danh,確認與簽核,การยืนยันและการลงชื่อ
Checklist Content,label:wujia.franchise.inspection_survey:th_checklist_content,Nội dung tiêu chí,評核內容,เนื้อหาการตรวจ
Information,label:wujia.franchise.inspection_survey:th_info,Thông tin,資訊,ข้อมูล
Evaluation,label:wujia.franchise.inspection_survey:th_evaluation,Đánh giá,評核結果,การประเมิน
Critical Criterion / Knockout,label:wujia.franchise.inspection_survey:title_critical_star,Tiêu chí trọng điểm / Điểm liệt,關鍵核心項目／否決項,เกณฑ์สำคัญ
"Criterion details, notes & evidence",label:wujia.franchise.inspection_survey:title_detail_btn,"Chi tiết tiêu chí, ghi chú & bằng chứng",評核詳情、備註與佐證照片,รายละเอียดเกณฑ์
Pass,label:wujia.franchise.inspection_survey:badge_pass,Đạt,合格,ผ่าน
Fail,label:wujia.franchise.inspection_survey:badge_fail,Không đạt,不合格,ไม่ผ่าน
Previous: Pass,label:wujia.franchise.inspection_survey:title_prev_pass,Lần trước: Đạt,上次：合格,ครั้งก่อน: ผ่าน
Previous: Fail,label:wujia.franchise.inspection_survey:title_prev_fail,Lần trước: Không đạt,上次：不合格,ครั้งก่อน: ไม่ผ่าน
Has note,label:wujia.franchise.inspection_survey:title_has_note,Có ghi chú,有備註,มีบันทึก
Has photo,label:wujia.franchise.inspection_survey:title_has_photo,Có ảnh chụp,有照片,มีรูปภาพ
Tested Employee Information,label:wujia.franchise.inspection_survey:header_staff_info,Thông tin nhân viên được kiểm tra,受測員工資訊,ข้อมูลพนักงานที่รับการทดสอบ
Staff exam submitted & locked,label:wujia.franchise.inspection_survey:exam_submitted_locked,Bài thi đã nộp & đã khóa,測驗已提交並鎖定,ส่งข้อสอบแล้วและล็อค
Tested Employee,label:wujia.franchise.inspection_survey:label_tested_employee,Nhân viên được kiểm tra,受測員工,พนักงานที่รับการทดสอบ
Employee full name...,label:wujia.franchise.inspection_survey:placeholder_employee_name,Họ và tên nhân viên...,員工姓名...,Employee full name...
Tenure,label:wujia.franchise.inspection_survey:label_tenure,Thâm niên,年資,อายุงาน
"Tenure (e.g. 0.5, 1, 2 years)...",label:wujia.franchise.inspection_survey:placeholder_tenure,"Thâm niên (Ví dụ: 0.5, 1, 2 năm)...",年資（例如：0.5、1、2年）...,"อายุงาน (เช่น 0.5, 1, 2 ปี)..."
Enter employee answer here...,label:wujia.franchise.inspection_survey:placeholder_exam_ans,Nhập câu trả lời của nhân viên tại đây...,在此輸入員工回答...,กรอกคำตอบของพนักงานที่นี่...
This inspection sheet has no staff exam questions.,label:wujia.franchise.inspection_survey:empty_exam_message,Phiếu khảo sát này không có câu hỏi thi lý thuyết.,此督導表無員工測驗題目。,แบบฟอร์มนี้ไม่มีคำถามทดสอบพนักงาน
Store Appearance Issues & Key Remediations,label:wujia.franchise.inspection_survey:notes_main_title,Ghi nhận ngoại quan kém & lỗi trọng điểm cần khắc phục,門容外觀不佳及重大缺失改善記錄,บันทึกรูปลักษณ์ที่ไม่ดีและข้อบกพร่องสำคัญ
Record store appearance issues and key remediations.,label:wujia.franchise.inspection_survey:notes_sub_title,Ghi nhận ngoại quan kém và các lỗi trọng điểm cần khắc phục của cửa hàng.,記錄門市外觀不佳與重點改善事項。,Record store appearance issues and key remediations.
Previous Inspection Notes (Latest),label:wujia.franchise.inspection_survey:label_prev_notes,Ghi nhận đợt trước gần nhất (Lần gần nhất),上次督導缺失記錄（前次）,บันทึกข้อบกพร่องครั้งก่อน
No store appearance issues or key remediations recorded from previous inspection.,label:wujia.franchise.inspection_survey:no_prev_notes,Không có ghi nhận ngoại quan kém hoặc lỗi trọng điểm từ đợt khảo sát trước.,前次督導無外觀不佳或重大缺失記錄。,ไม่มีบันทึกข้อบกพร่องจากการตรวจครั้งก่อน
Current Inspection Notes (Need Remediation),label:wujia.franchise.inspection_survey:label_current_notes,Ghi nhận đợt này (Cần khắc phục),本次督導缺失記錄（待改善）,บันทึกข้อบกพร่องครั้งนี้ (ต้องแก้ไข)
Enter store appearance issues and key remediations for this inspection...,label:wujia.franchise.inspection_survey:placeholder_notes,Nhập chi tiết ngoại quan kém và các lỗi trọng điểm cần khắc phục của cửa hàng đợt này...,請輸入本次門市外觀缺失與重點改善事項...,Enter store appearance issues and key remediations for this inspection...
label:wujia.franchise.inspection_survey:title_revenue_report,label:wujia.franchise.inspection_survey:title_revenue_report,BÁO CÁO CHI TIẾT DOANH THU 3 THÁNG,3個月詳細營業額報告,รายงานรายได้ละเอียด 3 เดือน
label:wujia.franchise.inspection_survey:btn_add_revenue_row,label:wujia.franchise.inspection_survey:btn_add_revenue_row,+ Thêm dòng,+ 新增項目,+ เพิ่มรายการ
label:wujia.franchise.inspection_survey:th_month,label:wujia.franchise.inspection_survey:th_month,Tháng / Năm,月份,เดือน
label:wujia.franchise.inspection_survey:th_revenue,label:wujia.franchise.inspection_survey:th_revenue,Doanh thu,營業額,รายได้
label:wujia.franchise.inspection_survey:th_revenue_avg,label:wujia.franchise.inspection_survey:th_revenue_avg,Doanh thu TB ngày,日均營業額,รายได้เฉลี่ยต่อวัน
label:wujia.franchise.inspection_survey:th_total_app_sale,label:wujia.franchise.inspection_survey:th_total_app_sale,Tổng đơn hàng Mini App,Mini App 訂單總數,ยอดคำสั่งซื้อ Mini App ทั้งหมด
label:wujia.franchise.inspection_survey:th_percent_app_sale,label:wujia.franchise.inspection_survey:th_percent_app_sale,Tỷ lệ đặt app (%),App 訂單比率 (%),อัตราส่วนคำสั่งซื้อ App (%)
label:wujia.franchise.inspection_survey:empty_revenue,label:wujia.franchise.inspection_survey:empty_revenue,Chưa có dữ liệu doanh thu.,尚未記錄營業額數據。,ยังไม่มีข้อมูลรายได้
Confirmation & Attendance Information,label:wujia.franchise.inspection_survey:header_confirmation,Thông tin Xác nhận & Điểm danh,簽核與出勤確認資訊,ข้อมูลการยืนยันและการลงชื่อ
System Confirmer,label:wujia.franchise.inspection_survey:label_system_confirmer,Người xác nhận hệ thống,System Confirmer,System Confirmer
Store Manager / Representative Confirmation,label:wujia.franchise.inspection_survey:label_store_confirmer,Xác nhận của Quản lý / Đại diện cửa hàng,Store Manager / Representative Confirmation,Store Manager / Representative Confirmation
--- Select Store Manager ---,label:wujia.franchise.inspection_survey:placeholder_select_store_manager,--- Chọn Quản lý cửa hàng ---,--- Select Store Manager ---,--- Select Store Manager ---
Store Owner,label:wujia.franchise.inspection_survey:role_owner,Chủ tiệm,店主,เจ้าของร้าน
Manager,label:wujia.franchise.inspection_survey:role_manager,Quản lý,店長／主管,ผู้จัดการ
Staff,label:wujia.franchise.inspection_survey:role_staff,Nhân viên,門市員工,พนักงาน
Electronic Signature (Store Representative),label:wujia.franchise.inspection_survey:label_signature,Chữ ký điện tử (Đại diện cửa hàng),電子簽名（門市負責人）,ลายเซ็นอิเล็กทรอนิกส์
Click here to sign,label:wujia.franchise.inspection_survey:btn_sign,Bấm vào đây để ký tên,點擊此處進行簽名,คลิกที่นี่เพื่อลงชื่อ
Clear signature,label:wujia.franchise.inspection_survey:btn_clear_sign,Xóa chữ ký,清除簽名,ลบลายเซ็น
Signed,label:wujia.franchise.inspection_survey:signed_badge,Đã ký,已簽署,ลงชื่อแล้ว
Staff Present at Inspection,label:wujia.franchise.inspection_survey:title_present_staff,Nhân viên có mặt tại buổi khảo sát,督導現場出勤人員,พนักงานที่อยู่ในการตรวจ
